Dish,Ingredients
Mushroom Risotto,"Arborio rice, mushrooms, vegetable broth, onions, garlic, parmesan cheese, white wine, butter"
Caprese Salad,"Tomatoes, mozzarella cheese, fresh basil, olive oil, balsamic glaze, salt, pepper"
Squash Soup,"Butternut squash, vegetable broth, onion, garlic, carrot, celery, nutmeg, cream"
Cauliflower Tacos,"Cauliflower, tortillas, avocado, lime, cabbage, cilantro, sour cream, chili powder"
Eggplant Parmesan,"Eggplant, marinara sauce, mozzarella cheese, parmesan cheese, breadcrumbs, eggs, flour, basil"
Ramen,"Ramen noodles, chicken broth, soy sauce, garlic, ginger, green onions, eggs, mushrooms, spinach"
Spinach and Feta Quiche,"Pie crust, eggs, cream, spinach, feta cheese, onions, garlic, nutmeg, salt, pepper"
Chickpea Salad,"Chickpeas, cucumbers, tomatoes, red onion, feta cheese, olives, lemon juice, olive oil, parsley, salt, pepper"
Lentil Soup,"Lentils, vegetable broth, carrots, celery, onion, tomatoes, garlic, cumin, coriander, olive oil"
Greek Salad,"Cucumbers, tomatoes, red onion, feta cheese, olives, olive oil, lemon juice, oregano, salt, pepper"
egetable Korma,"Potatoes, carrots, peas, bell peppers, coconut milk, yogurt, korma paste, almonds, raisins, cilantro"
Falafel,"Chickpeas, onions, parsley, garlic, cumin, coriander, salt, pepper, flour, oil"
Margherita Pizza,"Pizza dough, tomato sauce, fresh mozzarella cheese, fresh basil, olive oil, salt"
Pumpkin Curry,"Pumpkin, coconut milk, curry paste, onions, garlic, ginger, bell peppers, chickpeas, spinach, salt"
Dolma,"Grape leaves, long-grain white rice, olive oil, onions, fresh dill, salt, pepper"
Spinach Pie,"spinach, feta cheese, onions, olive oil, eggs, dill, salt, pepper, salt, pepper"
Aloo Gobi,"Potatoes, cauliflower, onions, tomatoes, cumin seeds, turmeric, coriander, garam masala, ginger, garlic, green chilies, cilantro, vegetable oil, salt"
Zucchini Noodles with Pesto," Zucchini, basil pesto, cherry tomatoes, pine nuts, parmesan cheese, garlic, olive oil, salt, pepper"
Quinoa Salad,"Quinoa, cherry tomatoes, cucumber, avocado, lemon juice, olive oil, feta cheese, parsley, mint, salt, pepper"
Veggie Sushi Rolls,"Sushi rice, nori sheets, cucumber, avocado, carrot, red bell pepper, rice vinegar, soy sauce, wasabi, pickled ginger"
Black Bean Burgers,"Black beans, breadcrumbs, onions, garlic, cumin, paprika, egg, salt, pepper, olive oil, hamburger buns, lettuce, tomatoes"
Ratatouille,"Eggplant, zucchini, bell peppers, tomatoes, onions, garlic, thyme, rosemary, olive oil, salt, pepper"
Baked Sweet Potatoes,"Sweet potatoes, black beans, corn, avocado, sour cream, lime, cilantro, chili powder, salt, pepper"
Vegetable Paella,"Arborio rice, saffron, vegetable broth, green beans, peas, bell peppers, tomatoes, onions, garlic, olive oil, salt, pepper"
